Type,Size,Algorithm,Time_ms,Comparisons
random,2100,MERGESORT,1.51298,28818
random,2100,STRING_QUICKSORT,0.317203,22553
random,2100,STRING_MERGESORT,1.46601,28818
random,2100,MSD_RADIX,0.691682,4850
random,2100,MSD_RADIX_QUICK,0.279527,10604
random,2200,QUICKSORT,0.386929,82199
random,2200,MERGESORT,1.52893,30454
random,2200,STRING_QUICKSORT,0.316088,25102
random,2200,STRING_MERGESORT,1.51209,30454
random,2200,MSD_RADIX,0.699491,5098
random,2200,MSD_RADIX_QUICK,0.283561,11351
random,2300,QUICKSORT,0.398418,87226
random,2300,MERGESORT,1.63973,32222
random,2300,STRING_QUICKSORT,0.328723,26200
random,2300,STRING_MERGESORT,1.58352,32222
random,2300,MSD_RADIX,0.740932,5364
random,2300,MSD_RADIX_QUICK,0.294103,11860
random,2400,QUICKSORT,0.410225,87719
random,2400,MERGESORT,1.7393,33925
random,2400,STRING_QUICKSORT,0.356446,26046
random,2400,STRING_MERGESORT,1.68139,33925
random,2400,MSD_RADIX,0.789258,5635
random,2400,MSD_RADIX_QUICK,0.299746,12512
random,2500,QUICKSORT,0.42219,94460
random,2500,MERGESORT,1.8469,35696
random,2500,STRING_QUICKSORT,0.37141,29677
random,2500,STRING_MERGESORT,1.84174,35696
random,2500,MSD_RADIX,0.93375,5898
random,2500,MSD_RADIX_QUICK,0.333067,13225
random,2600,QUICKSORT,0.494765,103768
random,2600,MERGESORT,2.01695,37434
random,2600,STRING_QUICKSORT,0.39123,30813
random,2600,STRING_MERGESORT,1.86366,37434
random,2600,MSD_RADIX,0.884237,6172
random,2600,MSD_RADIX_QUICK,0.336248,14009
random,2700,QUICKSORT,0.486968,105649
random,2700,MERGESORT,2.01657,39195
random,2700,STRING_QUICKSORT,0.404277,30820
random,2700,STRING_MERGESORT,2.4159,39195
random,2700,MSD_RADIX,0.949426,6444
random,2700,MSD_RADIX_QUICK,0.374097,14830
random,2800,QUICKSORT,0.500636,109317
random,2800,MERGESORT,2.06004,40957
random,2800,STRING_QUICKSORT,0.419649,32022
random,2800,STRING_MERGESORT,2.08227,40957
random,2800,MSD_RADIX,1.02343,6724
random,2800,MSD_RADIX_QUICK,0.367382,15545
random,2900,QUICKSORT,0.498937,106755
random,2900,MERGESORT,2.10314,42716
random,2900,STRING_QUICKSORT,0.427639,33781
random,2900,STRING_MERGESORT,2.06412,42716
random,2900,MSD_RADIX,1.03882,6994
random,2900,MSD_RADIX_QUICK,0.641728,16312
random,3000,QUICKSORT,0.634225,116582
random,3000,MERGESORT,2.46417,44525
random,3000,STRING_QUICKSORT,0.444087,34200
random,3000,STRING_MERGESORT,2.38067,44525
random,3000,MSD_RADIX,1.07041,7289
random,3000,MSD_RADIX_QUICK,0.603003,17047
reverse,100,QUICKSORT,0.026366,11553
reverse,100,MERGESORT,0.0369028,580
reverse,100,STRING_QUICKSORT,0.0085354,1046
reverse,100,STRING_MERGESORT,0.0339684,580
reverse,100,MSD_RADIX,0.030408,239
reverse,100,MSD_RADIX_QUICK,0.008141,1046
reverse,200,QUICKSORT,0.0874488,34622
reverse,200,MERGESORT,0.0883454,1301
reverse,200,STRING_QUICKSORT,0.0233456,2378
reverse,200,STRING_MERGESORT,0.0958792,1301
reverse,200,MSD_RADIX,0.0750638,489
reverse,200,MSD_RADIX_QUICK,0.0190848,2378
reverse,300,QUICKSORT,0.185482,66330
reverse,300,MERGESORT,0.142154,2144
reverse,300,STRING_QUICKSORT,0.0352758,4606
reverse,300,STRING_MERGESORT,0.143695,2144
reverse,300,MSD_RADIX,0.14287,730
reverse,300,MSD_RADIX_QUICK,0.080367,4793
reverse,400,QUICKSORT,0.542894,107639
reverse,400,MERGESORT,0.25153,2834
reverse,400,STRING_QUICKSORT,0.0467332,6042
reverse,400,STRING_MERGESORT,0.193237,2834
reverse,400,MSD_RADIX,0.141524,981
reverse,400,MSD_RADIX_QUICK,0.0699892,6243
reverse,500,QUICKSORT,0.477738,160207
reverse,500,MERGESORT,0.253654,3774
reverse,500,STRING_QUICKSORT,0.0658842,8653
reverse,500,STRING_MERGESORT,0.247533,3774
reverse,500,MSD_RADIX,0.178632,1236
reverse,500,MSD_RADIX_QUICK,0.119388,8023
reverse,600,QUICKSORT,1.03432,222272
reverse,600,MERGESORT,0.315367,4489
reverse,600,STRING_QUICKSORT,0.0820668,10822
reverse,600,STRING_MERGESORT,0.304469,4489
reverse,600,MSD_RADIX,0.220383,1484
reverse,600,MSD_RADIX_QUICK,0.106883,9624
reverse,700,QUICKSORT,1.07746,296003
reverse,700,MERGESORT,0.526072,5262
reverse,700,STRING_QUICKSORT,0.10788,14148
reverse,700,STRING_MERGESORT,0.366088,5262
reverse,700,MSD_RADIX,0.251921,1721
reverse,700,MSD_RADIX_QUICK,0.124894,11296
reverse,800,QUICKSORT,1.29502,378931
reverse,800,MERGESORT,0.625228,6102
reverse,800,STRING_QUICKSORT,0.145866,18045
reverse,800,STRING_MERGESORT,0.431826,6102
reverse,800,MSD_RADIX,0.283607,1962
reverse,800,MSD_RADIX_QUICK,0.143924,13260
reverse,900,QUICKSORT,1.87077,470130
reverse,900,MERGESORT,0.491365,7036
reverse,900,STRING_QUICKSORT,0.147291,19727
reverse,900,STRING_MERGESORT,0.483255,7036
reverse,900,MSD_RADIX,0.322178,2202
reverse,900,MSD_RADIX_QUICK,0.160842,14716
reverse,1000,QUICKSORT,1.81659,572777
reverse,1000,MERGESORT,0.555674,8069
reverse,1000,STRING_QUICKSORT,0.173643,23674
reverse,1000,STRING_MERGESORT,0.537354,8069
reverse,1000,MSD_RADIX,0.351481,2439
reverse,1000,MSD_RADIX_QUICK,0.181113,16388
reverse,1100,QUICKSORT,2.13947,686376
reverse,1100,MERGESORT,0.614859,8799
reverse,1100,STRING_QUICKSORT,0.199646,27402
reverse,1100,STRING_MERGESORT,0.593577,8799
reverse,1100,MSD_RADIX,0.384158,2683
reverse,1100,MSD_RADIX_QUICK,0.223339,18193
reverse,1200,QUICKSORT,2.82349,809179
reverse,1200,MERGESORT,0.678507,9492
reverse,1200,STRING_QUICKSORT,0.219178,30168
reverse,1200,STRING_MERGESORT,0.644991,9492
reverse,1200,MSD_RADIX,0.424562,2930
reverse,1200,MSD_RADIX_QUICK,0.216604,19688
reverse,1300,QUICKSORT,2.95548,940165
reverse,1300,MERGESORT,0.729604,10226
reverse,1300,STRING_QUICKSORT,0.252282,35228
reverse,1300,STRING_MERGESORT,0.708453,10226
reverse,1300,MSD_RADIX,0.448545,3169
reverse,1300,MSD_RADIX_QUICK,0.231907,21234
reverse,1400,QUICKSORT,3.45509,1082918
reverse,1400,MERGESORT,0.795788,11188
reverse,1400,STRING_QUICKSORT,0.297538,39977
reverse,1400,STRING_MERGESORT,0.773644,11188
reverse,1400,MSD_RADIX,0.483243,3403
reverse,1400,MSD_RADIX_QUICK,0.249899,22776
reverse,1500,QUICKSORT,3.90651,1235567
reverse,1500,MERGESORT,0.839862,12115
reverse,1500,STRING_QUICKSORT,0.304183,43219
reverse,1500,STRING_MERGESORT,0.824117,12115
reverse,1500,MSD_RADIX,0.524275,3647
reverse,1500,MSD_RADIX_QUICK,0.267365,24314
reverse,1600,QUICKSORT,4.48683,1397877
reverse,1600,MERGESORT,0.913225,13005
reverse,1600,STRING_QUICKSORT,0.347454,49552
reverse,1600,STRING_MERGESORT,0.874119,13005
reverse,1600,MSD_RADIX,0.559702,3885
reverse,1600,MSD_RADIX_QUICK,0.286124,25948
reverse,1700,QUICKSORT,5.02458,1570364
reverse,1700,MERGESORT,0.96002,13921
reverse,1700,STRING_QUICKSORT,0.390001,54381
reverse,1700,STRING_MERGESORT,0.934057,13921
reverse,1700,MSD_RADIX,0.592967,4129
reverse,1700,MSD_RADIX_QUICK,0.30644,27846
reverse,1800,QUICKSORT,5.5984,1753270
reverse,1800,MERGESORT,1.03705,14926
reverse,1800,STRING_QUICKSORT,0.433026,60862
reverse,1800,STRING_MERGESORT,0.996187,14926
reverse,1800,MSD_RADIX,0.632752,4376
reverse,1800,MSD_RADIX_QUICK,0.324319,29586
reverse,1900,QUICKSORT,6.26079,1945864
reverse,1900,MERGESORT,1.1787,15866
reverse,1900,STRING_QUICKSORT,0.488044,68075
reverse,1900,STRING_MERGESORT,1.08898,15866
reverse,1900,MSD_RADIX,0.699165,4630
reverse,1900,MSD_RADIX_QUICK,0.364186,31128
reverse,2000,QUICKSORT,6.98204,2148924
reverse,2000,MERGESORT,1.15053,17174
reverse,2000,STRING_QUICKSORT,0.511733,71819
reverse,2000,STRING_MERGESORT,1.11054,17174
reverse,2000,MSD_RADIX,0.700114,4878
reverse,2000,MSD_RADIX_QUICK,0.364562,32857
reverse,2100,QUICKSORT,7.57022,2360920
reverse,2100,MERGESORT,1.20393,17979
reverse,2100,STRING_QUICKSORT,0.551879,78231
reverse,2100,STRING_MERGESORT,1.16982,17979
reverse,2100,MSD_RADIX,0.732949,5124
reverse,2100,MSD_RADIX_QUICK,0.381975,34633
reverse,2200,QUICKSORT,8.44218,2582964
reverse,2200,MERGESORT,1.33766,18650
reverse,2200,STRING_QUICKSORT,0.617862,85935
reverse,2200,STRING_MERGESORT,1.27292,18650
reverse,2200,MSD_RADIX,0.780465,5373
reverse,2200,MSD_RADIX_QUICK,0.399032,36315
reverse,2300,QUICKSORT,9.09057,2815171
reverse,2300,MERGESORT,1.35392,19326
reverse,2300,STRING_QUICKSORT,0.652816,91376
reverse,2300,STRING_MERGESORT,1.30417,19326
reverse,2300,MSD_RADIX,0.819104,5616
reverse,2300,MSD_RADIX_QUICK,0.416432,38007
reverse,2400,QUICKSORT,9.88943,3056700
reverse,2400,MERGESORT,1.42562,20203
reverse,2400,STRING_QUICKSORT,0.701513,98398
reverse,2400,STRING_MERGESORT,1.37846,20203
reverse,2400,MSD_RADIX,0.853265,5863
reverse,2400,MSD_RADIX_QUICK,0.437268,39852
reverse,2500,QUICKSORT,10.7337,3308648
reverse,2500,MERGESORT,1.47815,21121
reverse,2500,STRING_QUICKSORT,0.757873,105868
reverse,2500,STRING_MERGESORT,1.43548,21121
reverse,2500,MSD_RADIX,0.882464,6099
reverse,2500,MSD_RADIX_QUICK,0.459725,41702
reverse,2600,QUICKSORT,11.5957,3570313
reverse,2600,MERGESORT,1.56503,21834
reverse,2600,STRING_QUICKSORT,0.809435,114525
reverse,2600,STRING_MERGESORT,1.50946,21834
reverse,2600,MSD_RADIX,0.925888,6338
reverse,2600,MSD_RADIX_QUICK,0.484344,43411
reverse,2700,QUICKSORT,12.4427,3843099
reverse,2700,MERGESORT,1.62316,22900
reverse,2700,STRING_QUICKSORT,0.863975,121995
reverse,2700,STRING_MERGESORT,1.56823,22900
reverse,2700,MSD_RADIX,0.959073,6584
reverse,2700,MSD_RADIX_QUICK,0.497368,45083
reverse,2800,QUICKSORT,13.3586,4123838
reverse,2800,MERGESORT,1.68494,23655
reverse,2800,STRING_QUICKSORT,0.903728,127304
reverse,2800,STRING_MERGESORT,1.62378,23655
reverse,2800,MSD_RADIX,0.994541,6814
reverse,2800,MSD_RADIX_QUICK,0.511164,46622
reverse,2900,QUICKSORT,14.5188,4416467
reverse,2900,MERGESORT,1.80884,24642
reverse,2900,STRING_QUICKSORT,0.964567,136548
reverse,2900,STRING_MERGESORT,1.77063,24642
reverse,2900,MSD_RADIX,1.00716,7049
reverse,2900,MSD_RADIX_QUICK,0.553475,48320
reverse,3000,QUICKSORT,15.383,4717339
reverse,3000,MERGESORT,1.86599,25807
reverse,3000,STRING_QUICKSORT,1.03653,147469
reverse,3000,STRING_MERGESORT,1.75602,25807
reverse,3000,MSD_RADIX,1.06392,7287
reverse,3000,MSD_RADIX_QUICK,0.560927,50116
almost,100,QUICKSORT,0.0293508,13465
almost,100,MERGESORT,0.0280386,723
almost,100,STRING_QUICKSORT,0.0071668,866
almost,100,STRING_MERGESORT,0.0268102,723
almost,100,MSD_RADIX,0.0297166,244
almost,100,MSD_RADIX_QUICK,0.0067396,866
almost,200,QUICKSORT,0.0851514,30326
almost,200,MERGESORT,0.0688592,1592
almost,200,STRING_QUICKSORT,0.0146294,1786
almost,200,STRING_MERGESORT,0.0641934,1592
almost,200,MSD_RADIX,0.0656784,492
almost,200,MSD_RADIX_QUICK,0.0143062,1786
almost,300,QUICKSORT,0.165725,53667
almost,300,MERGESORT,0.10967,2640
almost,300,STRING_QUICKSORT,0.0243276,2965
almost,300,STRING_MERGESORT,0.107959,2640
almost,300,MSD_RADIX,0.0991518,742
almost,300,MSD_RADIX_QUICK,0.0351512,2332
almost,400,QUICKSORT,0.207945,66476
almost,400,MERGESORT,0.161186,3617
almost,400,STRING_QUICKSORT,0.0351166,4297
almost,400,STRING_MERGESORT,0.158319,3617
almost,400,MSD_RADIX,0.12914,975
almost,400,MSD_RADIX_QUICK,0.0474028,3007
almost,500,QUICKSORT,0.30802,98358
almost,500,MERGESORT,0.213299,4655
almost,500,STRING_QUICKSORT,0.049505,5922
almost,500,STRING_MERGESORT,0.210829,4655
almost,500,MSD_RADIX,0.161565,1226
almost,500,MSD_RADIX_QUICK,0.0588908,3812
almost,600,QUICKSORT,0.366117,116658
almost,600,MERGESORT,0.252667,5761
almost,600,STRING_QUICKSORT,0.0626162,7782
almost,600,STRING_MERGESORT,0.252518,5761
almost,600,MSD_RADIX,0.190545,1460
almost,600,MSD_RADIX_QUICK,0.0725798,4549
almost,700,QUICKSORT,0.460924,146644
almost,700,MERGESORT,0.298934,6943
almost,700,STRING_QUICKSORT,0.0843972,9983
almost,700,STRING_MERGESORT,0.297082,6943
almost,700,MSD_RADIX,0.21797,1698
almost,700,MSD_RADIX_QUICK,0.084778,5355
almost,800,QUICKSORT,0.598478,188082
almost,800,MERGESORT,0.329291,7570
almost,800,STRING_QUICKSORT,0.0999362,12486
almost,800,STRING_MERGESORT,0.322816,7570
almost,800,MSD_RADIX,0.247583,1933
almost,800,MSD_RADIX_QUICK,0.0954798,6095
almost,900,QUICKSORT,0.684394,216592
almost,900,MERGESORT,0.376867,8657
almost,900,STRING_QUICKSORT,0.120467,15286
almost,900,STRING_MERGESORT,0.37167,8657
almost,900,MSD_RADIX,0.273548,2163
almost,900,MSD_RADIX_QUICK,0.108296,6899
almost,1000,QUICKSORT,0.818686,257733
almost,1000,MERGESORT,0.420819,9491
almost,1000,STRING_QUICKSORT,0.14384,18437
almost,1000,STRING_MERGESORT,0.422976,9491
almost,1000,MSD_RADIX,0.301318,2400
almost,1000,MSD_RADIX_QUICK,0.121034,7658
almost,1100,QUICKSORT,0.986306,308506
almost,1100,MERGESORT,0.46401,10600
almost,1100,STRING_QUICKSORT,0.170671,22049
almost,1100,STRING_MERGESORT,0.460058,10600
almost,1100,MSD_RADIX,0.331878,2634
almost,1100,MSD_RADIX_QUICK,0.131809,8439
almost,1200,QUICKSORT,1.10518,346110
almost,1200,MERGESORT,0.504747,11792
almost,1200,STRING_QUICKSORT,0.196746,25812
almost,1200,STRING_MERGESORT,0.510428,11792
almost,1200,MSD_RADIX,0.355178,2865
almost,1200,MSD_RADIX_QUICK,0.143618,9207
almost,1300,QUICKSORT,1.59872,469881
almost,1300,MERGESORT,0.61355,13158
almost,1300,STRING_QUICKSORT,0.233945,30689
almost,1300,STRING_MERGESORT,0.598091,13158
almost,1300,MSD_RADIX,0.392339,3105
almost,1300,MSD_RADIX_QUICK,0.158666,9918
almost,1400,QUICKSORT,1.73449,514668
almost,1400,MERGESORT,0.665619,14595
almost,1400,STRING_QUICKSORT,0.271471,35384
almost,1400,STRING_MERGESORT,0.653688,14595
