Size,ArrayType,Algorithm,K,Time_us
55000,Reversed,HybridMergeInsertionSort,10,15781
55000,Reversed,HybridMergeInsertionSort,15,15185
55000,Reversed,HybridMergeInsertionSort,20,15008
55000,Reversed,HybridMergeInsertionSort,30,16069
55000,Reversed,HybridMergeInsertionSort,50,15854
60000,Reversed,StandardMergeSort,0,34244
60000,Reversed,HybridMergeInsertionSort,5,20332
60000,Reversed,HybridMergeInsertionSort,10,16755
60000,Reversed,HybridMergeInsertionSort,15,16453
60000,Reversed,HybridMergeInsertionSort,20,16062
60000,Reversed,HybridMergeInsertionSort,30,17790
60000,Reversed,HybridMergeInsertionSort,50,17538
65000,Reversed,StandardMergeSort,0,38309
65000,Reversed,HybridMergeInsertionSort,5,21056
65000,Reversed,HybridMergeInsertionSort,10,17975
65000,Reversed,HybridMergeInsertionSort,15,17941
65000,Reversed,HybridMergeInsertionSort,20,17508
65000,Reversed,HybridMergeInsertionSort,30,17517
65000,Reversed,HybridMergeInsertionSort,50,19548
70000,Reversed,StandardMergeSort,0,40652
70000,Reversed,HybridMergeInsertionSort,5,22767
70000,Reversed,HybridMergeInsertionSort,10,19927
70000,Reversed,HybridMergeInsertionSort,15,19594
70000,Reversed,HybridMergeInsertionSort,20,19127
70000,Reversed,HybridMergeInsertionSort,30,19571
70000,Reversed,HybridMergeInsertionSort,50,21513
75000,Reversed,StandardMergeSort,0,43290
75000,Reversed,HybridMergeInsertionSort,5,23351
75000,Reversed,HybridMergeInsertionSort,10,20669
75000,Reversed,HybridMergeInsertionSort,15,20787
75000,Reversed,HybridMergeInsertionSort,20,20823
75000,Reversed,HybridMergeInsertionSort,30,25443
75000,Reversed,HybridMergeInsertionSort,50,23609
80000,Reversed,StandardMergeSort,0,46075
80000,Reversed,HybridMergeInsertionSort,5,25082
80000,Reversed,HybridMergeInsertionSort,10,22139
80000,Reversed,HybridMergeInsertionSort,15,22085
80000,Reversed,HybridMergeInsertionSort,20,22305
80000,Reversed,HybridMergeInsertionSort,30,22268
80000,Reversed,HybridMergeInsertionSort,50,25765
85000,Reversed,StandardMergeSort,0,51280
85000,Reversed,HybridMergeInsertionSort,5,27546
85000,Reversed,HybridMergeInsertionSort,10,25643
85000,Reversed,HybridMergeInsertionSort,15,24009
85000,Reversed,HybridMergeInsertionSort,20,24261
85000,Reversed,HybridMergeInsertionSort,30,24439
85000,Reversed,HybridMergeInsertionSort,50,28323
90000,Reversed,StandardMergeSort,0,52869
90000,Reversed,HybridMergeInsertionSort,5,31464
90000,Reversed,HybridMergeInsertionSort,10,27370
90000,Reversed,HybridMergeInsertionSort,15,25762
90000,Reversed,HybridMergeInsertionSort,20,25489
90000,Reversed,HybridMergeInsertionSort,30,26144
90000,Reversed,HybridMergeInsertionSort,50,30983
95000,Reversed,StandardMergeSort,0,56181
95000,Reversed,HybridMergeInsertionSort,5,34178
95000,Reversed,HybridMergeInsertionSort,10,28890
95000,Reversed,HybridMergeInsertionSort,15,26769
95000,Reversed,HybridMergeInsertionSort,20,27018
95000,Reversed,HybridMergeInsertionSort,30,28424
95000,Reversed,HybridMergeInsertionSort,50,33833
100000,Reversed,StandardMergeSort,0,59105
100000,Reversed,HybridMergeInsertionSort,5,36732
100000,Reversed,HybridMergeInsertionSort,10,30694
100000,Reversed,HybridMergeInsertionSort,15,29264
100000,Reversed,HybridMergeInsertionSort,20,30947
100000,Reversed,HybridMergeInsertionSort,30,29667
100000,Reversed,HybridMergeInsertionSort,50,37515
500,NearlySorted,StandardMergeSort,0,239
500,NearlySorted,HybridMergeInsertionSort,5,109
500,NearlySorted,HybridMergeInsertionSort,10,79
500,NearlySorted,HybridMergeInsertionSort,15,72
500,NearlySorted,HybridMergeInsertionSort,20,59
500,NearlySorted,HybridMergeInsertionSort,30,59
500,NearlySorted,HybridMergeInsertionSort,50,45
600,NearlySorted,StandardMergeSort,0,292
600,NearlySorted,HybridMergeInsertionSort,5,124
600,NearlySorted,HybridMergeInsertionSort,10,91
600,NearlySorted,HybridMergeInsertionSort,15,90
600,NearlySorted,HybridMergeInsertionSort,20,70
600,NearlySorted,HybridMergeInsertionSort,30,70
600,NearlySorted,HybridMergeInsertionSort,50,54
700,NearlySorted,StandardMergeSort,0,343
700,NearlySorted,HybridMergeInsertionSort,5,163
700,NearlySorted,HybridMergeInsertionSort,10,137
700,NearlySorted,HybridMergeInsertionSort,15,103
700,NearlySorted,HybridMergeInsertionSort,20,101
700,NearlySorted,HybridMergeInsertionSort,30,79
700,NearlySorted,HybridMergeInsertionSort,50,62
800,NearlySorted,StandardMergeSort,0,395
800,NearlySorted,HybridMergeInsertionSort,5,206
800,NearlySorted,HybridMergeInsertionSort,10,149
800,NearlySorted,HybridMergeInsertionSort,15,114
800,NearlySorted,HybridMergeInsertionSort,20,113
800,NearlySorted,HybridMergeInsertionSort,30,88
800,NearlySorted,HybridMergeInsertionSort,50,74
900,NearlySorted,StandardMergeSort,0,448
900,NearlySorted,HybridMergeInsertionSort,5,221
900,NearlySorted,HybridMergeInsertionSort,10,162
900,NearlySorted,HybridMergeInsertionSort,15,124
900,NearlySorted,HybridMergeInsertionSort,20,125
900,NearlySorted,HybridMergeInsertionSort,30,99
900,NearlySorted,HybridMergeInsertionSort,50,98
1000,NearlySorted,StandardMergeSort,0,492
1000,NearlySorted,HybridMergeInsertionSort,5,238
1000,NearlySorted,HybridMergeInsertionSort,10,178
1000,NearlySorted,HybridMergeInsertionSort,15,170
1000,NearlySorted,HybridMergeInsertionSort,20,138
1000,NearlySorted,HybridMergeInsertionSort,30,137
1000,NearlySorted,HybridMergeInsertionSort,50,109
1100,NearlySorted,StandardMergeSort,0,550
1100,NearlySorted,HybridMergeInsertionSort,5,254
1100,NearlySorted,HybridMergeInsertionSort,10,193
1100,NearlySorted,HybridMergeInsertionSort,15,197
1100,NearlySorted,HybridMergeInsertionSort,20,151
1100,NearlySorted,HybridMergeInsertionSort,30,150
1100,NearlySorted,HybridMergeInsertionSort,50,120
1200,NearlySorted,StandardMergeSort,0,603
1200,NearlySorted,HybridMergeInsertionSort,5,268
1200,NearlySorted,HybridMergeInsertionSort,10,204
1200,NearlySorted,HybridMergeInsertionSort,15,203
1200,NearlySorted,HybridMergeInsertionSort,20,160
1200,NearlySorted,HybridMergeInsertionSort,30,160
1200,NearlySorted,HybridMergeInsertionSort,50,130
1300,NearlySorted,StandardMergeSort,0,654
1300,NearlySorted,HybridMergeInsertionSort,5,292
1300,NearlySorted,HybridMergeInsertionSort,10,230
1300,NearlySorted,HybridMergeInsertionSort,15,217
1300,NearlySorted,HybridMergeInsertionSort,20,186
1300,NearlySorted,HybridMergeInsertionSort,30,172
1300,NearlySorted,HybridMergeInsertionSort,50,140
1400,NearlySorted,StandardMergeSort,0,709
1400,NearlySorted,HybridMergeInsertionSort,5,349
1400,NearlySorted,HybridMergeInsertionSort,10,295
1400,NearlySorted,HybridMergeInsertionSort,15,230
1400,NearlySorted,HybridMergeInsertionSort,20,230
1400,NearlySorted,HybridMergeInsertionSort,30,184
1400,NearlySorted,HybridMergeInsertionSort,50,150
1500,NearlySorted,StandardMergeSort,0,772
1500,NearlySorted,HybridMergeInsertionSort,5,414
1500,NearlySorted,HybridMergeInsertionSort,10,314
1500,NearlySorted,HybridMergeInsertionSort,15,245
1500,NearlySorted,HybridMergeInsertionSort,20,244
1500,NearlySorted,HybridMergeInsertionSort,30,197
1500,NearlySorted,HybridMergeInsertionSort,50,161
1600,NearlySorted,StandardMergeSort,0,817
1600,NearlySorted,HybridMergeInsertionSort,5,445
1600,NearlySorted,HybridMergeInsertionSort,10,332
1600,NearlySorted,HybridMergeInsertionSort,15,257
1600,NearlySorted,HybridMergeInsertionSort,20,257
1600,NearlySorted,HybridMergeInsertionSort,30,208
1600,NearlySorted,HybridMergeInsertionSort,50,172
1700,NearlySorted,StandardMergeSort,0,873
1700,NearlySorted,HybridMergeInsertionSort,5,466
1700,NearlySorted,HybridMergeInsertionSort,10,345
1700,NearlySorted,HybridMergeInsertionSort,15,272
1700,NearlySorted,HybridMergeInsertionSort,20,272
1700,NearlySorted,HybridMergeInsertionSort,30,220
1700,NearlySorted,HybridMergeInsertionSort,50,220
1800,NearlySorted,StandardMergeSort,0,934
1800,NearlySorted,HybridMergeInsertionSort,5,480
1800,NearlySorted,HybridMergeInsertionSort,10,360
1800,NearlySorted,HybridMergeInsertionSort,15,285
1800,NearlySorted,HybridMergeInsertionSort,20,284
1800,NearlySorted,HybridMergeInsertionSort,30,231
1800,NearlySorted,HybridMergeInsertionSort,50,231
1900,NearlySorted,StandardMergeSort,0,973
1900,NearlySorted,HybridMergeInsertionSort,5,496
1900,NearlySorted,HybridMergeInsertionSort,10,377
1900,NearlySorted,HybridMergeInsertionSort,15,299
1900,NearlySorted,HybridMergeInsertionSort,20,297
1900,NearlySorted,HybridMergeInsertionSort,30,243
1900,NearlySorted,HybridMergeInsertionSort,50,243
2000,NearlySorted,StandardMergeSort,0,1027
2000,NearlySorted,HybridMergeInsertionSort,5,514
2000,NearlySorted,HybridMergeInsertionSort,10,394
2000,NearlySorted,HybridMergeInsertionSort,15,361
2000,NearlySorted,HybridMergeInsertionSort,20,326
2000,NearlySorted,HybridMergeInsertionSort,30,311
2000,NearlySorted,HybridMergeInsertionSort,50,253
2100,NearlySorted,StandardMergeSort,0,1078
2100,NearlySorted,HybridMergeInsertionSort,5,529
2100,NearlySorted,HybridMergeInsertionSort,10,408
2100,NearlySorted,HybridMergeInsertionSort,15,406
2100,NearlySorted,HybridMergeInsertionSort,20,328
2100,NearlySorted,HybridMergeInsertionSort,30,323
2100,NearlySorted,HybridMergeInsertionSort,50,268
2200,NearlySorted,StandardMergeSort,0,1136
2200,NearlySorted,HybridMergeInsertionSort,5,550
2200,NearlySorted,HybridMergeInsertionSort,10,421
2200,NearlySorted,HybridMergeInsertionSort,15,425
2200,NearlySorted,HybridMergeInsertionSort,20,339
2200,NearlySorted,HybridMergeInsertionSort,30,341
2200,NearlySorted,HybridMergeInsertionSort,50,279
2300,NearlySorted,StandardMergeSort,0,1190
2300,NearlySorted,HybridMergeInsertionSort,5,559
2300,NearlySorted,HybridMergeInsertionSort,10,435
2300,NearlySorted,HybridMergeInsertionSort,15,434
2300,NearlySorted,HybridMergeInsertionSort,20,356
2300,NearlySorted,HybridMergeInsertionSort,30,350
2300,NearlySorted,HybridMergeInsertionSort,50,289
2400,NearlySorted,StandardMergeSort,0,1251
2400,NearlySorted,HybridMergeInsertionSort,5,581
2400,NearlySorted,HybridMergeInsertionSort,10,451
2400,NearlySorted,HybridMergeInsertionSort,15,453
2400,NearlySorted,HybridMergeInsertionSort,20,366
2400,NearlySorted,HybridMergeInsertionSort,30,403
2400,NearlySorted,HybridMergeInsertionSort,50,302
2500,NearlySorted,StandardMergeSort,0,1302
2500,NearlySorted,HybridMergeInsertionSort,5,599
2500,NearlySorted,HybridMergeInsertionSort,10,469
2500,NearlySorted,HybridMergeInsertionSort,15,470
2500,NearlySorted,HybridMergeInsertionSort,20,379
2500,NearlySorted,HybridMergeInsertionSort,30,381
2500,NearlySorted,HybridMergeInsertionSort,50,315
2600,NearlySorted,StandardMergeSort,0,1363
2600,NearlySorted,HybridMergeInsertionSort,5,640
2600,NearlySorted,HybridMergeInsertionSort,10,507
2600,NearlySorted,HybridMergeInsertionSort,15,483
2600,NearlySorted,HybridMergeInsertionSort,20,421
2600,NearlySorted,HybridMergeInsertionSort,30,395
2600,NearlySorted,HybridMergeInsertionSort,50,328
2700,NearlySorted,StandardMergeSort,0,1413
2700,NearlySorted,HybridMergeInsertionSort,5,699
2700,NearlySorted,HybridMergeInsertionSort,10,575
2700,NearlySorted,HybridMergeInsertionSort,15,503
2700,NearlySorted,HybridMergeInsertionSort,20,497
2700,NearlySorted,HybridMergeInsertionSort,30,410
2700,NearlySorted,HybridMergeInsertionSort,50,340
2800,NearlySorted,StandardMergeSort,0,1466
2800,NearlySorted,HybridMergeInsertionSort,5,748
2800,NearlySorted,HybridMergeInsertionSort,10,635
2800,NearlySorted,HybridMergeInsertionSort,15,508
2800,NearlySorted,HybridMergeInsertionSort,20,510
2800,NearlySorted,HybridMergeInsertionSort,30,415
2800,NearlySorted,HybridMergeInsertionSort,50,349
2900,NearlySorted,StandardMergeSort,0,1518
2900,NearlySorted,HybridMergeInsertionSort,5,814
2900,NearlySorted,HybridMergeInsertionSort,10,664
2900,NearlySorted,HybridMergeInsertionSort,15,528
2900,NearlySorted,HybridMergeInsertionSort,20,529
2900,NearlySorted,HybridMergeInsertionSort,30,436
2900,NearlySorted,HybridMergeInsertionSort,50,362
3000,NearlySorted,StandardMergeSort,0,1573
3000,NearlySorted,HybridMergeInsertionSort,5,878
3000,NearlySorted,HybridMergeInsertionSort,10,701
3000,NearlySorted,HybridMergeInsertionSort,15,546
3000,NearlySorted,HybridMergeInsertionSort,20,539
3000,NearlySorted,HybridMergeInsertionSort,30,446
3000,NearlySorted,HybridMergeInsertionSort,50,372
3100,NearlySorted,StandardMergeSort,0,1630
3100,NearlySorted,HybridMergeInsertionSort,5,930
3100,NearlySorted,HybridMergeInsertionSort,10,696
3100,NearlySorted,HybridMergeInsertionSort,15,557
3100,NearlySorted,HybridMergeInsertionSort,20,558
3100,NearlySorted,HybridMergeInsertionSort,30,459
3100,NearlySorted,HybridMergeInsertionSort,50,384
3200,NearlySorted,StandardMergeSort,0,1689
3200,NearlySorted,HybridMergeInsertionSort,5,945
3200,NearlySorted,HybridMergeInsertionSort,10,718
3200,NearlySorted,HybridMergeInsertionSort,15,573
3200,NearlySorted,HybridMergeInsertionSort,20,634
3200,NearlySorted,HybridMergeInsertionSort,30,470
3200,NearlySorted,HybridMergeInsertionSort,50,402
3300,NearlySorted,StandardMergeSort,0,1755
3300,NearlySorted,HybridMergeInsertionSort,5,969
3300,NearlySorted,HybridMergeInsertionSort,10,734
3300,NearlySorted,HybridMergeInsertionSort,15,590
3300,NearlySorted,HybridMergeInsertionSort,20,590
3300,NearlySorted,HybridMergeInsertionSort,30,487
3300,NearlySorted,HybridMergeInsertionSort,50,486
3400,NearlySorted,StandardMergeSort,0,1798
3400,NearlySorted,HybridMergeInsertionSort,5,992
3400,NearlySorted,HybridMergeInsertionSort,10,752
3400,NearlySorted,HybridMergeInsertionSort,15,940
3400,NearlySorted,HybridMergeInsertionSort,20,643
3400,NearlySorted,HybridMergeInsertionSort,30,502
3400,NearlySorted,HybridMergeInsertionSort,50,500
3500,NearlySorted,StandardMergeSort,0,1909
3500,NearlySorted,HybridMergeInsertionSort,5,1033
3500,NearlySorted,HybridMergeInsertionSort,10,801
3500,NearlySorted,HybridMergeInsertionSort,15,622
3500,NearlySorted,HybridMergeInsertionSort,20,638
3500,NearlySorted,HybridMergeInsertionSort,30,510
3500,NearlySorted,HybridMergeInsertionSort,50,513
3600,NearlySorted,StandardMergeSort,0,1908
3600,NearlySorted,HybridMergeInsertionSort,5,1018
3600,NearlySorted,HybridMergeInsertionSort,10,780
3600,NearlySorted,HybridMergeInsertionSort,15,631
3600,NearlySorted,HybridMergeInsertionSort,20,633
3600,NearlySorted,HybridMergeInsertionSort,30,526
3600,NearlySorted,HybridMergeInsertionSort,50,527
3700,NearlySorted,StandardMergeSort,0,1960
3700,NearlySorted,HybridMergeInsertionSort,5,1036
3700,NearlySorted,HybridMergeInsertionSort,10,798
3700,NearlySorted,HybridMergeInsertionSort,15,646
3700,NearlySorted,HybridMergeInsertionSort,20,647
3700,NearlySorted,HybridMergeInsertionSort,30,536
3700,NearlySorted,HybridMergeInsertionSort,50,540
3800,NearlySorted,StandardMergeSort,0,2008
3800,NearlySorted,HybridMergeInsertionSort,5,1057
3800,NearlySorted,HybridMergeInsertionSort,10,816
3800,NearlySorted,HybridMergeInsertionSort,15,661
3800,NearlySorted,HybridMergeInsertionSort,20,664
3800,NearlySorted,HybridMergeInsertionSort,30,554
3800,NearlySorted,HybridMergeInsertionSort,50,550
3900,NearlySorted,StandardMergeSort,0,2059
3900,NearlySorted,HybridMergeInsertionSort,5,1077
3900,NearlySorted,HybridMergeInsertionSort,10,836
3900,NearlySorted,HybridMergeInsertionSort,15,715
3900,NearlySorted,HybridMergeInsertionSort,20,678
3900,NearlySorted,HybridMergeInsertionSort,30,620
3900,NearlySorted,HybridMergeInsertionSort,50,569
4000,NearlySorted,StandardMergeSort,0,2156
4000,NearlySorted,HybridMergeInsertionSort,5,1100
4000,NearlySorted,HybridMergeInsertionSort,10,858
4000,NearlySorted,HybridMergeInsertionSort,15,797
4000,NearlySorted,HybridMergeInsertionSort,20,697
4000,NearlySorted,HybridMergeInsertionSort,30,694
4000,NearlySorted,HybridMergeInsertionSort,50,583
4100,NearlySorted,StandardMergeSort,0,2159
4100,NearlySorted,HybridMergeInsertionSort,5,1106
4100,NearlySorted,HybridMergeInsertionSort,10,866
4100,NearlySorted,HybridMergeInsertionSort,15,867
4100,NearlySorted,HybridMergeInsertionSort,20,709
4100,NearlySorted,HybridMergeInsertionSort,30,707
4100,NearlySorted,HybridMergeInsertionSort,50,594
4200,NearlySorted,StandardMergeSort,0,2233
4200,NearlySorted,HybridMergeInsertionSort,5,1139
4200,NearlySorted,HybridMergeInsertionSort,10,890
4200,NearlySorted,HybridMergeInsertionSort,15,893
4200,NearlySorted,HybridMergeInsertionSort,20,727
4200,NearlySorted,HybridMergeInsertionSort,30,735
4200,NearlySorted,HybridMergeInsertionSort,50,640
4300,NearlySorted,StandardMergeSort,0,2337
4300,NearlySorted,HybridMergeInsertionSort,5,1156
4300,NearlySorted,HybridMergeInsertionSort,10,903
4300,NearlySorted,HybridMergeInsertionSort,15,903
4300,NearlySorted,HybridMergeInsertionSort,20,743
4300,NearlySorted,HybridMergeInsertionSort,30,742
4300,NearlySorted,HybridMergeInsertionSort,50,625
4400,NearlySorted,StandardMergeSort,0,2352
4400,NearlySorted,HybridMergeInsertionSort,5,1179
4400,NearlySorted,HybridMergeInsertionSort,10,925
4400,NearlySorted,HybridMergeInsertionSort,15,925
4400,NearlySorted,HybridMergeInsertionSort,20,758
4400,NearlySorted,HybridMergeInsertionSort,30,759
4400,NearlySorted,HybridMergeInsertionSort,50,640
4500,NearlySorted,StandardMergeSort,0,2414
4500,NearlySorted,HybridMergeInsertionSort,5,1193
4500,NearlySorted,HybridMergeInsertionSort,10,944
4500,NearlySorted,HybridMergeInsertionSort,15,963
4500,NearlySorted,HybridMergeInsertionSort,20,792
4500,NearlySorted,HybridMergeInsertionSort,30,780
4500,NearlySorted,HybridMergeInsertionSort,50,650
4600,NearlySorted,StandardMergeSort,0,2497
4600,NearlySorted,HybridMergeInsertionSort,5,1243
4600,NearlySorted,HybridMergeInsertionSort,10,979
4600,NearlySorted,HybridMergeInsertionSort,15,978
4600,NearlySorted,HybridMergeInsertionSort,20,803
4600,NearlySorted,HybridMergeInsertionSort,30,814
4600,NearlySorted,HybridMergeInsertionSort,50,663
4700,NearlySorted,StandardMergeSort,0,2533
4700,NearlySorted,HybridMergeInsertionSort,5,1228
4700,NearlySorted,HybridMergeInsertionSort,10,977
4700,NearlySorted,HybridMergeInsertionSort,15,975
4700,NearlySorted,HybridMergeInsertionSort,20,803
4700,NearlySorted,HybridMergeInsertionSort,30,807
4700,NearlySorted,HybridMergeInsertionSort,50,680
4800,NearlySorted,StandardMergeSort,0,2586
4800,NearlySorted,HybridMergeInsertionSort,5,1249
4800,NearlySorted,HybridMergeInsertionSort,10,989
4800,NearlySorted,HybridMergeInsertionSort,15,989
4800,NearlySorted,HybridMergeInsertionSort,20,816
4800,NearlySorted,HybridMergeInsertionSort,30,816
4800,NearlySorted,HybridMergeInsertionSort,50,1015
4900,NearlySorted,StandardMergeSort,0,2697
4900,NearlySorted,HybridMergeInsertionSort,5,1279
4900,NearlySorted,HybridMergeInsertionSort,10,1011
4900,NearlySorted,HybridMergeInsertionSort,15,1041
4900,NearlySorted,HybridMergeInsertionSort,20,832
4900,NearlySorted,HybridMergeInsertionSort,30,832
4900,NearlySorted,HybridMergeInsertionSort,50,707
5000,NearlySorted,StandardMergeSort,0,2713
5000,NearlySorted,HybridMergeInsertionSort,5,1288
5000,NearlySorted,HybridMergeInsertionSort,10,1028
5000,NearlySorted,HybridMergeInsertionSort,15,1025
5000,NearlySorted,HybridMergeInsertionSort,20,850
5000,NearlySorted,HybridMergeInsertionSort,30,849
5000,NearlySorted,HybridMergeInsertionSort,50,719
5100,NearlySorted,StandardMergeSort,0,2741
5100,NearlySorted,HybridMergeInsertionSort,5,1327
5100,NearlySorted,HybridMergeInsertionSort,10,1037
5100,NearlySorted,HybridMergeInsertionSort,15,1044
5100,NearlySorted,HybridMergeInsertionSort,20,867
5100,NearlySorted,HybridMergeInsertionSort,30,861
5100,NearlySorted,HybridMergeInsertionSort,50,764
5200,NearlySorted,StandardMergeSort,0,2807
5200,NearlySorted,HybridMergeInsertionSort,5,1360
5200,NearlySorted,HybridMergeInsertionSort,10,1107
5200,NearlySorted,HybridMergeInsertionSort,15,1060
5200,NearlySorted,HybridMergeInsertionSort,20,939
5200,NearlySorted,HybridMergeInsertionSort,30,877
5200,NearlySorted,HybridMergeInsertionSort,50,746
5300,NearlySorted,StandardMergeSort,0,2864
5300,NearlySorted,HybridMergeInsertionSort,5,1427
5300,NearlySorted,HybridMergeInsertionSort,10,1176
5300,NearlySorted,HybridMergeInsertionSort,15,1077
5300,NearlySorted,HybridMergeInsertionSort,20,1023
5300,NearlySorted,HybridMergeInsertionSort,30,890
5300,NearlySorted,HybridMergeInsertionSort,50,761
5400,NearlySorted,StandardMergeSort,0,3014
5400,NearlySorted,HybridMergeInsertionSort,5,1552
5400,NearlySorted,HybridMergeInsertionSort,10,1268
5400,NearlySorted,HybridMergeInsertionSort,15,1106
5400,NearlySorted,HybridMergeInsertionSort,20,1096
5400,NearlySorted,HybridMergeInsertionSort,30,943
5400,NearlySorted,HybridMergeInsertionSort,50,782
5500,NearlySorted,StandardMergeSort,0,3048
5500,NearlySorted,HybridMergeInsertionSort,5,1548
5500,NearlySorted,HybridMergeInsertionSort,10,1313
5500,NearlySorted,HybridMergeInsertionSort,15,1108
5500,NearlySorted,HybridMergeInsertionSort,20,1113
5500,NearlySorted,HybridMergeInsertionSort,30,923
5500,NearlySorted,HybridMergeInsertionSort,50,788
5600,NearlySorted,StandardMergeSort,0,3032
5600,NearlySorted,HybridMergeInsertionSort,5,1666
5600,NearlySorted,HybridMergeInsertionSort,10,1369
5600,NearlySorted,HybridMergeInsertionSort,15,1119
5600,NearlySorted,HybridMergeInsertionSort,20,1143
5600,NearlySorted,HybridMergeInsertionSort,30,939
5600,NearlySorted,HybridMergeInsertionSort,50,801
5700,NearlySorted,StandardMergeSort,0,3089
5700,NearlySorted,HybridMergeInsertionSort,5,1673
5700,NearlySorted,HybridMergeInsertionSort,10,1415
5700,NearlySorted,HybridMergeInsertionSort,15,1141
5700,NearlySorted,HybridMergeInsertionSort,20,1146
5700,NearlySorted,HybridMergeInsertionSort,30,951
5700,NearlySorted,HybridMergeInsertionSort,50,815
5800,NearlySorted,StandardMergeSort,0,3187
5800,NearlySorted,HybridMergeInsertionSort,5,1815
5800,NearlySorted,HybridMergeInsertionSort,10,1499
5800,NearlySorted,HybridMergeInsertionSort,15,1160
5800,NearlySorted,HybridMergeInsertionSort,20,1172
5800,NearlySorted,HybridMergeInsertionSort,30,968
5800,NearlySorted,HybridMergeInsertionSort,50,830
5900,NearlySorted,StandardMergeSort,0,3197
5900,NearlySorted,HybridMergeInsertionSort,5,1798
5900,NearlySorted,HybridMergeInsertionSort,10,1451
5900,NearlySorted,HybridMergeInsertionSort,15,1172
5900,NearlySorted,HybridMergeInsertionSort,20,1169
5900,NearlySorted,HybridMergeInsertionSort,30,1006
5900,NearlySorted,HybridMergeInsertionSort,50,846
6000,NearlySorted,StandardMergeSort,0,3252
6000,NearlySorted,HybridMergeInsertionSort,5,1860
6000,NearlySorted,HybridMergeInsertionSort,10,1470
6000,NearlySorted,HybridMergeInsertionSort,15,1202
6000,NearlySorted,HybridMergeInsertionSort,20,1189
6000,NearlySorted,HybridMergeInsertionSort,30,997
6000,NearlySorted,HybridMergeInsertionSort,50,854
6100,NearlySorted,StandardMergeSort,0,3309
6100,NearlySorted,HybridMergeInsertionSort,5,1913
6100,NearlySorted,HybridMergeInsertionSort,10,1482
6100,NearlySorted,HybridMergeInsertionSort,15,1204
6100,NearlySorted,HybridMergeInsertionSort,20,1208
6100,NearlySorted,HybridMergeInsertionSort,30,1011
6100,NearlySorted,HybridMergeInsertionSort,50,871
6200,NearlySorted,StandardMergeSort,0,3374
6200,NearlySorted,HybridMergeInsertionSort,5,2061
6200,NearlySorted,HybridMergeInsertionSort,10,1569
6200,NearlySorted,HybridMergeInsertionSort,15,1268
6200,NearlySorted,HybridMergeInsertionSort,20,1253
6200,NearlySorted,HybridMergeInsertionSort,30,1030
6200,NearlySorted,HybridMergeInsertionSort,50,885
6300,NearlySorted,StandardMergeSort,0,3523
6300,NearlySorted,HybridMergeInsertionSort,5,1985
6300,NearlySorted,HybridMergeInsertionSort,10,1527
6300,NearlySorted,HybridMergeInsertionSort,15,1248
6300,NearlySorted,HybridMergeInsertionSort,20,1245
6300,NearlySorted,HybridMergeInsertionSort,30,1045
6300,NearlySorted,HybridMergeInsertionSort,50,899
6400,NearlySorted,StandardMergeSort,0,3488
6400,NearlySorted,HybridMergeInsertionSort,5,2007
6400,NearlySorted,HybridMergeInsertionSort,10,1545
6400,NearlySorted,HybridMergeInsertionSort,15,1252
6400,NearlySorted,HybridMergeInsertionSort,20,1257
6400,NearlySorted,HybridMergeInsertionSort,30,1073
6400,NearlySorted,HybridMergeInsertionSort,50,909
6500,NearlySorted,StandardMergeSort,0,3593
6500,NearlySorted,HybridMergeInsertionSort,5,2040
6500,NearlySorted,HybridMergeInsertionSort,10,1572
6500,NearlySorted,HybridMergeInsertionSort,15,1274
6500,NearlySorted,HybridMergeInsertionSort,20,1285
6500,NearlySorted,HybridMergeInsertionSort,30,1159
6500,NearlySorted,HybridMergeInsertionSort,50,1049
6600,NearlySorted,StandardMergeSort,0,3618
6600,NearlySorted,HybridMergeInsertionSort,5,2055
6600,NearlySorted,HybridMergeInsertionSort,10,1584
6600,NearlySorted,HybridMergeInsertionSort,15,1339
6600,NearlySorted,HybridMergeInsertionSort,20,1328
6600,NearlySorted,HybridMergeInsertionSort,30,1124
6600,NearlySorted,HybridMergeInsertionSort,50,1107
6700,NearlySorted,StandardMergeSort,0,3716
6700,NearlySorted,HybridMergeInsertionSort,5,2086
6700,NearlySorted,HybridMergeInsertionSort,10,1614
6700,NearlySorted,HybridMergeInsertionSort,15,1311
6700,NearlySorted,HybridMergeInsertionSort,20,1309
6700,NearlySorted,HybridMergeInsertionSort,30,1102
6700,NearlySorted,HybridMergeInsertionSort,50,1104
6800,NearlySorted,StandardMergeSort,0,3726
6800,NearlySorted,HybridMergeInsertionSort,5,2108
6800,NearlySorted,HybridMergeInsertionSort,10,1627
6800,NearlySorted,HybridMergeInsertionSort,15,1328
6800,NearlySorted,HybridMergeInsertionSort,20,1330
6800,NearlySorted,HybridMergeInsertionSort,30,1114
6800,NearlySorted,HybridMergeInsertionSort,50,1116
6900,NearlySorted,StandardMergeSort,0,3782
6900,NearlySorted,HybridMergeInsertionSort,5,2116
6900,NearlySorted,HybridMergeInsertionSort,10,1636
6900,NearlySorted,HybridMergeInsertionSort,15,1337
6900,NearlySorted,HybridMergeInsertionSort,20,1338
6900,NearlySorted,HybridMergeInsertionSort,30,1128
6900,NearlySorted,HybridMergeInsertionSort,50,1125
7000,NearlySorted,StandardMergeSort,0,3955
7000,NearlySorted,HybridMergeInsertionSort,5,2220
7000,NearlySorted,HybridMergeInsertionSort,10,1689
