Size,ArrayType,Algorithm,K,Time_us
2200,Random,HybridMergeInsertionSort,50,531
2300,Random,StandardMergeSort,0,1375
2300,Random,HybridMergeInsertionSort,5,752
2300,Random,HybridMergeInsertionSort,10,633
2300,Random,HybridMergeInsertionSort,15,632
2300,Random,HybridMergeInsertionSort,20,569
2300,Random,HybridMergeInsertionSort,30,570
2300,Random,HybridMergeInsertionSort,50,559
2400,Random,StandardMergeSort,0,1448
2400,Random,HybridMergeInsertionSort,5,787
2400,Random,HybridMergeInsertionSort,10,661
2400,Random,HybridMergeInsertionSort,15,659
2400,Random,HybridMergeInsertionSort,20,595
2400,Random,HybridMergeInsertionSort,30,592
2400,Random,HybridMergeInsertionSort,50,584
2500,Random,StandardMergeSort,0,1505
2500,Random,HybridMergeInsertionSort,5,809
2500,Random,HybridMergeInsertionSort,10,688
2500,Random,HybridMergeInsertionSort,15,694
2500,Random,HybridMergeInsertionSort,20,623
2500,Random,HybridMergeInsertionSort,30,622
2500,Random,HybridMergeInsertionSort,50,619
2600,Random,StandardMergeSort,0,1576
2600,Random,HybridMergeInsertionSort,5,860
2600,Random,HybridMergeInsertionSort,10,740
2600,Random,HybridMergeInsertionSort,15,715
2600,Random,HybridMergeInsertionSort,20,663
2600,Random,HybridMergeInsertionSort,30,651
2600,Random,HybridMergeInsertionSort,50,655
2700,Random,StandardMergeSort,0,1639
2700,Random,HybridMergeInsertionSort,5,933
2700,Random,HybridMergeInsertionSort,10,814
2700,Random,HybridMergeInsertionSort,15,739
2700,Random,HybridMergeInsertionSort,20,740
2700,Random,HybridMergeInsertionSort,30,678
2700,Random,HybridMergeInsertionSort,50,687
2800,Random,StandardMergeSort,0,1694
2800,Random,HybridMergeInsertionSort,5,994
2800,Random,HybridMergeInsertionSort,10,883
2800,Random,HybridMergeInsertionSort,15,762
2800,Random,HybridMergeInsertionSort,20,764
2800,Random,HybridMergeInsertionSort,30,697
2800,Random,HybridMergeInsertionSort,50,713
2900,Random,StandardMergeSort,0,1761
2900,Random,HybridMergeInsertionSort,5,1069
2900,Random,HybridMergeInsertionSort,10,921
2900,Random,HybridMergeInsertionSort,15,794
2900,Random,HybridMergeInsertionSort,20,790
2900,Random,HybridMergeInsertionSort,30,731
2900,Random,HybridMergeInsertionSort,50,752
3000,Random,StandardMergeSort,0,1829
3000,Random,HybridMergeInsertionSort,5,1130
3000,Random,HybridMergeInsertionSort,10,945
3000,Random,HybridMergeInsertionSort,15,817
3000,Random,HybridMergeInsertionSort,20,812
3000,Random,HybridMergeInsertionSort,30,750
3000,Random,HybridMergeInsertionSort,50,779
3100,Random,StandardMergeSort,0,1890
3100,Random,HybridMergeInsertionSort,5,1182
